Community College,UCSD Articulated,UCSD Unarticulated,UCSB Articulated,UCSB Unarticulated,UCSC Articulated,UCSC Unarticulated,UCLA Articulated,UCLA Unarticulated,UCB Articulated,UCB Unarticulated,UCI Articulated,UCI Unarticulated,UCD Articulated,UCD Unarticulated,UCR Articulated,UCR Unarticulated,UCM Articulated,UCM Unarticulated
Merced_Community_College_District.csv,5.0,2.0,5.93,1.0,5.0,0.0,5.0,1.0,4.0,0.0,4.0,0.0,7.0,1.0,3.0,0.0,5.0,0.0
Marin_Community_College_District.csv,6.0,1.0,7.0,0.0,5.0,0.0,6.0,0.0,4.0,0.0,3.0,0.0,8.0,0.0,3.0,0.0,5.0,0.0
Siskiyou_Joint_Community_College_District.csv,4.0,3.0,5.0,2.0,4.0,1.0,5.0,1.0,4.0,0.0,2.0,3.0,6.0,2.0,3.0,0.0,5.0,0.0
Imperial_Community_College_District.csv,7.0,0.0,5.0,2.0,3.0,2.0,5.0,1.0,4.0,0.0,2.0,3.0,5.0,3.0,2.0,1.0,5.0,0.0
Kern_Community_College_District.csv,4.0,3.0,6.0,1.0,4.0,1.0,6.0,0.0,4.0,0.0,2.0,3.0,7.0,2.0,3.0,0.0,5.0,0.0
Lassen_Community_College_District.csv,2.0,5.0,2.0,5.0,2.0,3.0,2.0,5.0,2.0,2.0,2.0,3.0,2.0,6.0,1.0,2.0,2.0,3.0
Cabrillo_Community_College_District.csv,7.0,0.0,6.11,0.0,5.0,0.0,6.0,0.0,4.0,0.0,3.0,0.0,7.0,0.0,3.0,0.0,5.0,0.0
San_Mateo_County_Community_College_District.csv,8.0,0.0,7.0,0.0,5.0,0.0,6.0,0.0,4.0,0.0,3.0,0.0,8.0,0.0,3.0,0.0,5.0,0.0
West_Kern_Community_College_District.csv,3.0,4.0,7.0,0.0,2.0,3.0,4.0,2.0,4.0,0.0,2.0,3.0,4.0,4.0,2.0,1.0,4.0,1.0
Desert_Community_College_District.csv,5.0,2.0,7.0,0.0,5.0,0.0,5.0,1.0,4.0,0.0,2.0,3.0,6.0,2.0,3.0,0.0,5.0,0.0
San_Jose-Evergreen_Community_College_District.csv,7.0,1.0,7.0,0.0,5.0,0.0,6.0,0.0,4.0,0.0,3.0,0.0,7.0,1.0,3.0,0.0,5.0,0.0
Shasta-Tehama-Trinity_Joint_Community_College_District.csv,4.0,3.0,7.0,0.0,4.0,1.0,5.0,1.0,3.99,0.0,2.0,3.0,7.0,1.0,3.0,0.0,5.0,0.0
Palo_Verde_Community_College_District.csv,1.0,6.0,0.0,7.0,0.0,5.0,1.0,6.0,0.0,4.0,0.0,5.0,0.0,8.0,0.0,5.0,1.0,4.0
San_Luis_Obispo_County_Community_College_District.csv,6.0,0.0,5.0,1.0,5.0,0.0,4.0,1.0,4.0,0.0,2.0,3.0,6.0,0.0,3.0,0.0,5.0,0.0
San_Francisco_Community_College_District.csv,7.0,0.0,6.0,0.0,5.0,0.0,5.0,0.0,4.0,0.0,3.0,0.0,5.0,0.0,2.0,0.0,5.0,0.0
Santa_Clarita_Community_College_District.csv,7.0,0.0,7.0,0.0,5.0,0.0,6.0,0.0,4.0,0.0,2.0,3.0,6.0,2.0,3.0,0.0,5.0,0.0
Long_Beach_Community_College_District.csv,5.0,2.0,6.0,0.0,4.0,1.0,5.0,0.0,4.0,0.0,3.0,0.0,7.0,1.0,3.0,0.0,5.0,0.0
Santa_Barbara_Community_College_District.csv,7.0,0.0,6.21,0.0,5.0,0.0,6.0,0.0,4.0,0.0,3.0,0.0,7.0,1.0,3.0,0.0,5.0,0.0
Coast_Community_College_District.csv,8.0,0.0,6.0,0.0,5.0,0.0,5.0,0.0,4.0,0.0,4.0,0.0,10.0,0.0,3.0,0.0,5.0,0.0
Napa_Valley_Community_College_District.csv,4.0,3.0,6.0,1.0,3.0,2.0,5.0,1.0,4.0,0.0,2.0,3.0,5.0,3.0,2.0,1.0,5.0,0.0
Redwoods_Community_College_District.csv,4.0,3.0,4.0,3.0,2.0,3.0,5.0,1.0,4.0,0.0,2.0,3.0,4.0,4.0,2.0,1.0,4.0,1.0
Mendocino-Lake_Community_College_District.csv,5.0,2.0,5.0,2.0,2.0,3.0,5.0,1.0,3.67,0.0,2.0,3.0,5.0,3.0,3.0,0.0,5.0,0.0
Santa_Monica_Community_College_District.csv,6.5,0.0,7.0,0.0,4.0,0.0,6.0,0.0,4.0,0.0,4.0,0.0,6.0,2.0,3.0,0.0,5.0,0.0
San_Joaquin_Delta_Community_College_District.csv,4.0,3.0,7.0,0.0,5.0,0.0,6.0,0.0,4.0,0.0,2.0,3.0,5.0,3.0,3.0,0.0,5.0,0.0
Feather_River_Community_College_District.csv,1.0,5.0,3.0,4.0,2.0,3.0,2.0,5.0,3.0,1.0,2.0,3.0,2.0,6.0,1.0,2.0,3.0,2.0
Cerritos_Community_College_District.csv,7.0,0.0,5.0,1.0,5.0,0.0,5.0,0.0,4.0,0.0,3.0,0.0,6.84,0.0,3.0,0.0,5.0,0.0
Riverside_Community_College_District.csv,6.0,1.0,7.0,0.0,5.0,0.0,6.0,0.0,4.0,0.0,4.0,0.0,7.1,0.0,3.0,0.0,5.0,0.0
South_Orange_County_Community_College_District.csv,8.0,0.0,7.0,0.0,5.0,0.0,6.0,0.0,4.0,0.0,4.0,0.0,8.0,0.0,3.0,0.0,5.0,0.0
Mt._San_Antonio_Community_College_District.csv,7.0,0.0,6.0,0.0,5.0,0.0,5.0,0.0,4.0,0.0,2.0,3.0,6.0,2.0,2.0,0.0,5.0,0.0
Monterey_Peninsula_Community_College_District.csv,5.0,2.0,6.0,1.0,5.0,0.0,6.0,0.0,4.0,0.0,3.0,0.0,7.0,1.0,3.0,0.0,5.0,0.0
Glendale_Community_College_District.csv,6.0,1.0,7.0,0.0,4.0,1.0,6.0,0.0,4.0,0.0,3.0,0.0,8.0,0.0,3.0,0.0,5.0,0.0
Los_Angeles_Community_College_District.csv,8.0,0.0,7.0,0.0,5.0,0.0,6.0,0.0,4.0,0.0,3.0,0.0,8.0,0.0,3.0,0.0,5.0,0.0
San_Diego_Community_College_District.csv,6.5,0.0,7.0,0.0,4.0,1.0,6.0,0.0,4.0,0.0,3.0,0.0,6.0,2.0,3.0,0.0,5.0,0.0
Chaffey_Community_College_District.csv,4.0,3.0,7.0,0.0,1.0,3.0,6.0,0.0,4.0,0.0,3.0,0.0,6.0,2.0,2.0,1.0,5.0,0.0
Compton_Community_College_District.csv,6.79,0.0,5.0,1.0,3.0,2.0,4.0,1.0,4.0,0.0,3.0,0.0,3.0,4.0,1.0,2.0,4.0,1.0
Rio_Hondo_Community_College_District.csv,6.0,1.0,5.0,1.0,4.0,1.0,6.0,0.0,4.0,0.0,3.0,3.0,5.0,3.0,3.0,0.0,5.0,0.0
Peralta_Community_College_District.csv,7.0,1.0,7.0,0.0,5.0,0.0,5.0,1.0,4.0,0.0,2.0,3.0,6.0,1.0,3.0,0.0,5.0,0.0
Antelope_Valley_Community_College_District.csv,7.0,0.0,6.0,1.0,5.0,0.0,5.0,1.0,4.0,0.0,3.0,0.0,5.0,2.0,1.0,2.0,5.0,0.0
